Samples ,Date (MM/dd/yyyy) ,Time of day (hh:mm:ss) ,Power (W)
229, 11/28/2024, 13:13:16.851,0.00032227
230, 11/28/2024, 13:13:17.863,0.0003222
231, 11/28/2024, 13:13:18.876,0.00032232
232, 11/28/2024, 13:13:19.153,0.00032225
233, 11/28/2024, 13:13:20.167,0.00032228
234, 11/28/2024, 13:13:21.180,0.00032232
235, 11/28/2024, 13:13:22.196,0.00032227
236, 11/28/2024, 13:13:23.211,0.0003223
237, 11/28/2024, 13:13:24.224,0.00032229
238, 11/28/2024, 13:13:25.238,0.00032228
239, 11/28/2024, 13:13:26.250,0.00032233
240, 11/28/2024, 13:13:27.264,0.00032226
241, 11/28/2024, 13:13:28.275,0.00032218
242, 11/28/2024, 13:13:29.288,0.00032212
243, 11/28/2024, 13:13:30.301,0.00032212
244, 11/28/2024, 13:13:31.314,0.0003221
245, 11/28/2024, 13:13:32.324,0.00032207
246, 11/28/2024, 13:13:33.333,0.00032203
247, 11/28/2024, 13:13:34.347,0.0003221
248, 11/28/2024, 13:13:35.360,0.00032208
249, 11/28/2024, 13:13:36.372,0.00032212
250, 11/28/2024, 13:13:37.384,0.00032208
251, 11/28/2024, 13:13:38.395,0.00032211
252, 11/28/2024, 13:13:39.410,0.00032207
253, 11/28/2024, 13:13:40.421,0.0003221
254, 11/28/2024, 13:13:41.435,0.00032215
255, 11/28/2024, 13:13:42.446,0.00032217
256, 11/28/2024, 13:13:43.465,0.00032219
257, 11/28/2024, 13:13:44.481,0.00032225
258, 11/28/2024, 13:13:45.496,0.00032228
259, 11/28/2024, 13:13:46.505,0.00032229
260, 11/28/2024, 13:13:47.516,0.00032231
261, 11/28/2024, 13:13:48.531,0.00032225
262, 11/28/2024, 13:13:49.541,0.00032204
263, 11/28/2024, 13:13:50.554,0.00032215
264, 11/28/2024, 13:13:51.569,0.00032216
265, 11/28/2024, 13:13:52.580,0.00032215
266, 11/28/2024, 13:13:53.596,0.00032209
267, 11/28/2024, 13:13:54.609,0.00032208
268, 11/28/2024, 13:13:55.623,0.00032212
269, 11/28/2024, 13:13:56.635,0.00032209
270, 11/28/2024, 13:13:57.645,0.00032215
271, 11/28/2024, 13:13:58.665,0.00032209
272, 11/28/2024, 13:13:59.677,0.00032218
273, 11/28/2024, 13:14:00.689,0.00032216
274, 11/28/2024, 13:14:01.700,0.00032214
275, 11/28/2024, 13:14:02.712,0.0003222
276, 11/28/2024, 13:14:03.725,0.00032221
277, 11/28/2024, 13:14:04.737,0.00032226
278, 11/28/2024, 13:14:05.750,0.00032225
279, 11/28/2024, 13:14:06.763,0.00032219
280, 11/28/2024, 13:14:07.773,0.0003222
281, 11/28/2024, 13:14:08.783,0.00032218
282, 11/28/2024, 13:14:09.793,0.00032216
283, 11/28/2024, 13:14:10.804,0.00032207
284, 11/28/2024, 13:14:11.816,0.00032206
285, 11/28/2024, 13:14:12.827,0.00032208
286, 11/28/2024, 13:14:13.845,0.00032202
287, 11/28/2024, 13:14:14.856,0.00032202
288, 11/28/2024, 13:14:15.866,0.00032202
289, 11/28/2024, 13:14:16.879,0.00032201
290, 11/28/2024, 13:14:17.155,0.00032202
291, 11/28/2024, 13:14:18.168,0.00032205
292, 11/28/2024, 13:14:19.177,0.00032207
293, 11/28/2024, 13:14:20.193,0.00032217
294, 11/28/2024, 13:14:21.206,0.00032218
295, 11/28/2024, 13:14:22.220,0.0003221
296, 11/28/2024, 13:14:23.232,0.00032205
297, 11/28/2024, 13:14:24.244,0.00032203
298, 11/28/2024, 13:14:25.258,0.00032208
299, 11/28/2024, 13:14:26.268,0.00032197
300, 11/28/2024, 13:14:27.293,0.00032205
